"Function Stack","Effective Time","Spin Time","Overhead Time","Effective Time","Spin Time","Overhead Time","Inactive Sync Wait Time","Preemption Wait Time","Inactive Sync Wait Time","Preemption Wait Time","Inactive Sync Wait Count","Preemption Wait Count","Inactive Sync Wait Count","Preemption Wait Count","Module","Function (Full)","Source File","Start Address"
"Total","61.5129","0.1704","0","0","0","0","3.97751","6.27792","0","0","51781","45168","0","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" func@0x4b2e7c23","61.2876","0.1704","0","0","0","0","3.9775","6.15192","0","0","51780","43493","0","0","ntdll.dll","func@0x4b2e7c23","[Unknown]","0x4b2e7c23"
"  func@0x4b2e7c3f","61.2876","0.1704","0","0","0","0","3.9775","6.15192","0","0","51780","43493","0","0","ntdll.dll","func@0x4b2e7c3f","[Unknown]","0x4b2e7c3f"
"   BaseThreadInitThunk","43.3169","0","0","0","0","0","0.0229622","2.73471","0","0","31","19649","0","0","kernel32.dll","BaseThreadInitThunk","[Unknown]","0x6b81fcb0"
"    func@0x10166d62","43.3169","0","0","0","0","0","0.0229622","2.73471","0","0","31","19649","0","0","msvcrt.dll","func@0x10166d62","[Unknown]","0x10166d62"
"     func@0x10166cda","43.3169","0","0","0","0","0","0.0229622","2.73471","0","0","31","19649","0","0","msvcrt.dll","func@0x10166cda","[Unknown]","0x10166cda"
"      func@0x682c9a30","43.3169","0","0","0","0","0","0.0229622","2.73471","0","0","31","19649","0","0","pthreadGC-3.dll","func@0x682c9a30","[Unknown]","0x682c9a30"
"       func@0x6380dc20","43.3169","0","0","0","0","0","0.0229622","2.73471","0","0","31","19649","0","0","libgomp-1.dll","func@0x6380dc20","[Unknown]","0x6380dc20"
"        [Loop@0x6380dd60 in func@0x6380dc20]","43.3169","0","0","0","0","0","0.0229622","2.73471","0","0","31","19649","0","0","libgomp-1.dll","[Loop@0x6380dd60 in func@0x6380dc20]","[Unknown]","0x6380dd60"
"         arm_convolve_HWC_q7_RGB._omp_fn.0","26.1362","0","0","0.000995167","0","0","0.0157421","1.71927","0","0.0001201","19","10609","0","2","app.exe","arm_convolve_HWC_q7_RGB._omp_fn.0","arm_convolve_HWC_q7_RGB.c","0x4014a0"
"         arm_convolve_HWC_q7_fast._omp_fn.0","17.1807","0","0","0.00100142","0","0","0.0072201","1.01544","0","0.000826401","12","9041","0","7","app.exe","arm_convolve_HWC_q7_fast._omp_fn.0","arm_convolve_HWC_q7_fast.c","0x401880"
"          [Loop at line 390 in arm_convolve_HWC_q7_fast._omp_fn.0]","17.1797","0","0","0.221825","0","0","0.0072201","1.01462","0","0.0221452","12","9034","0","268","app.exe","[Loop at line 390 in arm_convolve_HWC_q7_fast._omp_fn.0]","arm_convolve_HWC_q7_fast.c","0x4019ab"
"           [Loop at line 391 in arm_convolve_HWC_q7_fast._omp_fn.0]","16.9579","0","0","1.24752","0","0","0.0072201","0.99247","0.0025177","0.0701657","12","8766","1","670","app.exe","[Loop at line 391 in arm_convolve_HWC_q7_fast._omp_fn.0]","arm_convolve_HWC_q7_fast.c","0x401a34"
"            [Loop at line 393 in arm_convolve_HWC_q7_fast._omp_fn.0]","15.7104","0","0","2.65645","0","0","0.0047024","0.922305","0.0006911","0.206361","11","8095","2","1949","app.exe","[Loop at line 393 in arm_convolve_HWC_q7_fast._omp_fn.0]","arm_convolve_HWC_q7_fast.c","0x401a50"
"             [Loop at line 400 in arm_convolve_HWC_q7_fast._omp_fn.0]","13.0539","0","0","13.0539","0","0","0.0040113","0.715943","0.0040113","0.715943","9","6146","9","6146","app.exe","[Loop at line 400 in arm_convolve_HWC_q7_fast._omp_fn.0]","arm_convolve_HWC_q7_fast.c","0x401a80"
"   func@0x4012e0","17.9707","0.1704","0","0","0","0","3.95454","3.41721","0","0","51749","23843","0","0","app.exe","func@0x4012e0","[Unknown]","0x4012e0"
" arm_convolve_HWC_q7_RGB._omp_fn.0","0.130249","0","0","0","0","0","0","0.0733551","0","0","0","773","0","0","app.exe","arm_convolve_HWC_q7_RGB._omp_fn.0","arm_convolve_HWC_q7_RGB.c","0x4014a0"
"  [Loop at line 264 in arm_convolve_HWC_q7_RGB._omp_fn.0]","0.130249","0","0","0.0085655","0","0","0","0.0733551","0","0.00443451","0","773","0","63","app.exe","[Loop at line 264 in arm_convolve_HWC_q7_RGB._omp_fn.0]","arm_convolve_HWC_q7_RGB.c","0x4015cb"
"   [Loop at line 265 in arm_convolve_HWC_q7_RGB._omp_fn.0]","0.121684","0","0","0.0250544","0","0","0","0.0689206","0","0.00700461","0","710","0","130","app.exe","[Loop at line 265 in arm_convolve_HWC_q7_RGB._omp_fn.0]","arm_convolve_HWC_q7_RGB.c","0x401654"
"    [Loop at line 267 in arm_convolve_HWC_q7_RGB._omp_fn.0]","0.0966295","0","0","0.0478023","0","0","0","0.061916","0","0.041482","0","580","0","311","app.exe","[Loop at line 267 in arm_convolve_HWC_q7_RGB._omp_fn.0]","arm_convolve_HWC_q7_RGB.c","0x401670"
"     [Loop at line 274 in arm_convolve_HWC_q7_RGB._omp_fn.0]","0.0488272","0","0","0.0488272","0","0","0","0.0204339","0","0.0204339","0","269","0","269","app.exe","[Loop at line 274 in arm_convolve_HWC_q7_RGB._omp_fn.0]","arm_convolve_HWC_q7_RGB.c","0x4016a0"
" arm_convolve_HWC_q7_fast._omp_fn.0","0.0873466","0","0","0","0","0","5.4001e-06","0.0423072","0","0","1","788","0","0","app.exe","arm_convolve_HWC_q7_fast._omp_fn.0","arm_convolve_HWC_q7_fast.c","0x401880"
" arm_maxpool_q7_HWC","0.006639","0","0","0","0","0","0","0.00611591","0","0","0","91","0","0","app.exe","arm_maxpool_q7_HWC","arm_pool_q7_HWC.c","0x4021c0"
" arm_relu_q7","0.00100788","0","0","0","0","0","0","0.0040468","0","0","0","21","0","0","app.exe","arm_relu_q7","arm_relu_q7.c","0x401460"
" main","0","0","0","0","0","0","0","8.20001e-05","0","0","0","1","0","0","app.exe","main","app.c","0x404e00"
" arm_fully_connected_q7_opt","0","0","0","0","0","0","0","9.24001e-05","0","0","0","1","0","0","app.exe","arm_fully_connected_q7_opt","arm_fully_connected_q7_opt.c","0x401d60"
