"Function Stack","Effective Time","Spin Time","Overhead Time","Effective Time","Spin Time","Overhead Time","Inactive Sync Wait Time","Preemption Wait Time","Inactive Sync Wait Time","Preemption Wait Time","Inactive Sync Wait Count","Preemption Wait Count","Inactive Sync Wait Count","Preemption Wait Count","Module","Function (Full)","Source File","Start Address"
"Total","35.9519","0.00126838","0","0","0","0","3.74267","5.26133","0","0","38806","50782","0","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" func@0x4b2e7c23","35.7408","0.00126838","0","0","0","0","3.74259","5.13639","0","0","38805","48807","0","0","ntdll.dll","func@0x4b2e7c23","[Unknown]","0x4b2e7c23"
"  func@0x4b2e7c3f","35.7408","0.00126838","0","0","0","0","3.74259","5.13639","0","0","38805","48807","0","0","ntdll.dll","func@0x4b2e7c3f","[Unknown]","0x4b2e7c3f"
"   func@0x4012e0","35.7408","0.00126838","0","0","0","0","3.74259","5.13639","0","0","38805","48807","0","0","app.exe","func@0x4012e0","[Unknown]","0x4012e0"
"    func@0x4011b0","35.7408","0.00126838","0","0","0","0","3.74259","5.13639","0","7.44001e-05","38805","48807","0","1","app.exe","func@0x4011b0","[Unknown]","0x4011b0"
"     main","35.7408","0.00126838","0","0.00213583","0","0","3.74259","5.1363","6.47004e-05","5.75001e-05","38805","48805","4","1","app.exe","main","app.c","0x404d00"
"      [Loop at line 139 in main]","35.7377","0.00126838","0","6.06199","0.00126838","0","3.74222","5.13623","3.74197","3.67736","38780","48803","38753","30805","app.exe","[Loop at line 139 in main]","app.c","0x404d30"
"       arm_convolve_HWC_q7_fast","15.9257","0","0","0","0","0","6.58012e-05","0.74903","0","1.08001e-05","12","9120","0","1","app.exe","arm_convolve_HWC_q7_fast","arm_convolve_HWC_q7_fast.c","0x4017d0"
"        [Loop at line 384 in arm_convolve_HWC_q7_fast]","15.9257","0","0","0","0","0","6.58012e-05","0.749019","0","1.70002e-05","12","9119","0","2","app.exe","[Loop at line 384 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401957"
"         [Loop at line 108 in arm_convolve_HWC_q7_fast]","15.9257","0","0","0.00722704","0","0","6.58012e-05","0.749002","0","0.000145901","12","9117","0","6","app.exe","[Loop at line 108 in arm_convolve_HWC_q7_fast]","arm_convolve_HWC_q7_fast.c","0x401986"
